internship_title,company_name,location,start_date,duration,stipend,Skills,gender
Event Operations,Sports For All,Pune,Immediately,2 Months,"₹ 5,000 lump sum","Event Management Software (Eventbrite, Cvent), Project Management Tools (Trello, Asana), Microsoft Office Suite, G Suite, Communication Tools (Slack)",ANY
Business Development (Sales),Johan Brown Publishing Private Limited,Hyderabad,Immediately,1 Month,"₹ 5,000 /month +  Incentives","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
HR,Manastu Space Technologies,Mumbai,Immediately,1 Month,"₹ 15,000 /month","HRIS, ATS, MS Office, LinkedIn Recruiter, Payroll software",ANY
Human Resources (HR),Growify Digital,Delhi,Immediately,1 Month,"₹ 8,000-12,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Social Media Marketing,Ally Digital Media,Mumbai,Immediately,1 Month,"₹ 8,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Recruitment,Touchcore Systems Private Limited,Pune,Immediately,1 Month,"₹ 10,000 /month","ATS, LinkedIn Recruiter, Job boards, Sourcing, Interviewing",ANY
Client Servicing,One Root,Bangalore,Immediately,1 Month,"₹ 12,000-16,000 /month","CRM, MS Office, Project management tools, Communication, Presentation",ANY
Business Development (Sales),Ostello India Private Limited,Work From Home,Immediately,1 Month,"₹ 4,000-8,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Founders Office,Punt Partners,Bangalore,Immediately,1 Month,"₹ 15,000 /month","MS Office/G Suite, Project management (Asana, Notion), Data analysis, Communication",ANY
Social Media Marketing,Earth5R,Mumbai,Immediately,1 Month,"₹ 8,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Operations,Universal Adventures,Work From Home,Immediately,1 Month,"₹ 2,000-4,000 /month","ERP, MS Excel, Project management tools, Process optimization, Data analysis",ANY
Teaching (Pre-school),IDZ Digital Private Limited,Mumbai,Immediately,1 Month,"₹ 10,000 /month","Early childhood education principles, Art and craft supplies, Storytelling, Classroom management software",ANY
Campus Ambassador,WeMakeScholars,Work From Home,Immediately,1 Month,Performance Based,"Social media, Public speaking, Networking, Event promotion",ANY
Operations,Avaesa,Chennai,Immediately,1 Month,"₹ 8,000 /month +  Incentives","ERP, MS Excel, Project management tools, Process optimization, Data analysis",ANY
Human Resources (HR),Arcatron Mobility Private Limited,Pune,Immediately,1 Month,"₹ 10,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Graphic Design And Video Marketing,RoaDo,Bangalore,Immediately,1 Month,"₹ 15,000 /month","Adobe Creative Suite, Canva, Social media ads, YouTube marketing, Analytics",ANY
Email Marketing,Reports Insights Consulting Private Limited,Pune,Immediately,1 Month,"₹ 7,000 /month","Mailchimp/Sendinblue, A/B testing, HTML for email, Google Analytics, CRM",ANY
Content Development (Metaphysics),Avaesa,Chennai,Immediately,1 Month,"₹ 8,000 /month +  Incentives","Research skills, Word processing, Philosophical knowledge, Content structuring",ANY
Account Management,ODN Digital Services Private Limited,Delhi,Immediately,1 Month,"₹ 5,000-10,000 /month","CRM, MS Office, Relationship building, Project management, Upselling",ANY
Supply Chain & Logistics Operations,Inorbvict Healthcare India Private Limited,Pune,Immediately,1 Month,"₹ 6,000 /month","WMS/TMS, ERP, Advanced Excel, Route optimization, Inventory management",ANY
Telecalling,Qriocity Ventures Private Limited,Chennai,Immediately,1 Month,"₹ 20,000 /month +  Incentives","CRM, Dialing Software, Microsoft Excel, Google Sheets, Communication Scripts",ANY
Content Writing,Star Watch Technologies,Chennai,Immediately,1 Month,"₹ 3,000-8,000 /month","WordPress, SEO tools, Grammarly, Plagiarism checker, Google Docs, Canva",ANY
Fashion Stylist,Ramp Asia,Delhi,Immediately,1 Month,"₹ 7,000-18,000 /month","Mood board tools, Adobe Photoshop, Wardrobe inventory apps, Knowledge of fashion history and trends",ANY
Academic Content Writing,Qriocity Ventures Private Limited,Chennai,Immediately,1 Month,"₹ 15,000-20,000 /month","MS Word, Zotero/Mendeley, Plagiarism checkers, Research, Academic styles",ANY
Sales,Qriocity Ventures Private Limited,Chennai,Immediately,1 Month,"₹ 20,000-25,000 /month","CRM, Sales engagement platforms, LinkedIn Sales Navigator, Microsoft Office Suite",ANY
Digital Marketing,EDirectsys,Chennai,Immediately,1 Month,"₹ 8,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Event Management,Energy Alternatives India,Chennai,Immediately,1 Month,"₹ 15,000-20,000 /month","Event planning software (Cvent, Eventbrite), Project management tools (Asana, Trello), Microsoft Office Suite, Budgeting (Excel), Social media marketing",Female
Content Management,Energy Alternatives India,Chennai,Immediately,1 Month,"₹ 15,000-20,000 /month","CMS (WordPress, Contentful), SEO tools, Google Analytics, HTML basics, Project management tools",ANY
Social Media Marketing,Social Parindee Digital Marketing Agency Private Limited,Work From Home,Immediately,1 Month,"₹ 1,000-2,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Client Acquisition,OpeninApp,Bangalore,Immediately,1 Month,"₹ 15,000-25,000 /month","CRM, LinkedIn Sales Navigator, Cold emailing tools, Sales prospecting",ANY
Digital Marketing,FightClub IAS,Bangalore,Immediately,1 Month,"₹ 6,000-10,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Subject Matter Expert (Chemistry),Paradise Edu Services,Work From Home,Immediately,1 Month,"₹ 12,000 /month","ChemDraw, Avogadro, Gaussian, Scifinder, Reaxys, Subject knowledge",ANY
HR Coordination,Expertrons,Mumbai,Immediately,1 Month,"₹ 8,000 /month","HRIS, ATS, Microsoft Office Suite (Word, Excel, Outlook), Google Workspace, Scheduling Tools",ANY
Graphic Design,Swipe,Hyderabad,Immediately,1 Month,"₹ 15,000-25,000 /month","Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Color theory",ANY
Accounting and Finance,DAKSM & Co. LLP,Noida,Immediately,1 Month,"₹ 5,000-10,000 /month","Tally, QuickBooks, Advanced Excel, Financial modeling, SAP",Female
Sales & Business Development,Energy Alternatives India,Chennai,Immediately,1 Month,"₹ 15,000-20,000 /month","CRM, LinkedIn Sales Navigator, Sales prospecting, Negotiation",ANY
Chartered Accountancy (CA),Nopany & Associates,Kolkata,Immediately,1 Month,"₹ 5,000 /month","Tally, Advanced Excel, Auditing software, Tax compliance software, Knowledge of Ind AS, Companies Act",ANY
Mathematics And Statistics,Scan Holdings Private Limited,Delhi,Immediately,2 Months,"₹ 6,000 /month","R/SPSS/Python, LaTeX, Excel, Subject knowledge",ANY
Social Sciences For Research On SDG/ESG Reporting,Darukaa ESG,Mumbai,Immediately,2 Months,"₹ 11,000-15,000 /month","SPSS/R, NVivo, Research methods, SDG/ESG frameworks (GRI), Report writing",ANY
Sports Operation,Sports For All,Pune,Immediately,2 Months,"₹ 5,000 lump sum","Event scheduling software, Team management apps, Ticketing systems, Social media",ANY
Business Development,Re.Act Waste Tech Pvt. Ltd,Kolkata,Immediately,2 Months,"₹ 5,000 /month","CRM, LinkedIn Sales Navigator, Sales prospecting tools, Microsoft Office Suite",ANY
Digital Marketing,CLASSMITRA TECH PRIVATE LIMITED,Pune,Immediately,2 Months,"₹ 10,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Administration And Operations,Matrix International,Kolkata,Immediately,2 Months,"₹ 8,000 /month","Microsoft Office Suite, Google Workspace, Project Management tools, ERP systems, Communication tools (Slack)",ANY
Sketching Art,Dashtoon,Bangalore,Immediately,2 Months,"₹ 15,000 /month","Pencils/charcoal, Sketchbook, Digital tools (Procreate, Photoshop), Anatomy, Perspective",ANY
Brand Management,Energy Alternatives India,Chennai,Immediately,2 Months,"₹ 15,000-20,000 /month","Social media analytics, Brand monitoring tools, Google Analytics, Market research tools, Adobe Creative Suite",ANY
Marketing,RoaDo,Bangalore,Immediately,2 Months,"₹ 15,000 /month","Google Analytics, SEO/SEM, Social media, Email marketing, CRM",ANY
Event Management,Sunday Bricks Edu Services,Thane,Immediately,2 Months,"₹ 5,000-10,000 /month","Event planning software (Cvent, Eventbrite), Project management tools (Asana, Trello), Microsoft Office Suite, Budgeting (Excel), Social media marketing",ANY
Event Management,Star Production,Delhi,Immediately,2 Months,"₹ 3,000-7,000 /month","Event planning software (Cvent, Eventbrite), Project management tools (Asana, Trello), Microsoft Office Suite, Budgeting (Excel), Social media marketing",ANY
Talent Acquisition,SKILLFORGE E-LEARNING SOLUTIONS PRIVATE LIMITED,Bangalore,Immediately,2 Months,"₹ 10,000 /month +  Incentives","ATS, LinkedIn Recruiter, Sourcing, Boolean search, Interviewing",Female
Social Media Marketing,Nikita Vakil,Mumbai,Immediately,2 Months,"₹ 2,000-2,500 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Business Development,Brinnova,Hyderabad,Immediately,2 Months,"₹ 15,000-20,000 /month","CRM, LinkedIn Sales Navigator, Sales prospecting tools, Microsoft Office Suite",Female
E-Commerce Sales,Avaesa,Chennai,Immediately,2 Months,"₹ 4,000 /month +  Incentives","Shopify/Amazon, CRM, Digital marketing, Sales funnels, Analytics",ANY
Graphic Design,Aero Armour,Kolkata,Immediately,2 Months,"₹ 5,000-10,000 /month","Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Color theory",ANY
Human Resources (HR),Digi Grow Hub Education,Chinchwad,Immediately,2 Months,"₹ 3,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Executive Assistant,Datastack Technologies Private Limited,Pune,Immediately,2 Months,"₹ 10,000 /month","MS Office/G Suite, Calendar management, Travel booking, Project management",ANY
Customer Success,SuperNova,Bangalore,Immediately,2 Months,"₹ 15,000 /month","CRM, Helpdesk software, Product analytics tools (Mixpanel), Communication platforms",ANY
Metallurgical Engineering,Manastu Space Technologies,Mumbai,Immediately,2 Months,"₹ 15,000 /month","METSIM, FactSage, Thermo-Calc, AutoCAD, MATLAB, SEM/TEM operation, Mechanical testing equipment",ANY
Human Resources (HR),Branch Karma,Mumbai,Immediately,2 Months,"₹ 5,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",Female
Human Resources (HR),IIDE Education Private Limited,Mumbai,Immediately,2 Months,"₹ 5,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Marketing,Studio Image Works,Gurgaon,Immediately,2 Months,"₹ 8,000 /month","Google Analytics, SEO/SEM, Social media, Email marketing, CRM",ANY
Organizational Psychology,Future Skills,Hyderabad,Immediately,2 Months,"₹ 18,000 /month","SPSS/R, Survey design, Job analysis, Change management models",ANY
Sales,AulaCube Technologies Private Limited,Pune,Immediately,2 Months,"₹ 8,000-20,000 /month","CRM, Sales engagement platforms, LinkedIn Sales Navigator, Microsoft Office Suite",ANY
Administration,Avaesa,Chennai,Immediately,2 Months,"₹ 4,000 /month +  Incentives","MS Office Suite, G Suite, Calendar management, Basic bookkeeping",ANY
Mass Communications,Simplify Solutions,Bangalore,Immediately,2 Months,"₹ 5,000 /month","Adobe Creative Suite, Video Editing Software, Social Media Management tools, WordPress, AP Style, Public Speaking",ANY
Telecalling,The Overseas Consultant,Mumbai,Immediately,2 Months,"₹ 5,000-6,000 /month","CRM, Dialing Software, Microsoft Excel, Google Sheets, Communication Scripts",ANY
Accounting & Reporting,Breakout,Koramangala,Immediately,2 Months,"₹ 4,000-7,000 /month","Tally, SAP FICO, Advanced Excel, IFRS/Ind AS, Financial statement preparation",ANY
Holiday Expert - Sales & Marketing (Travel & Tourism),Pack N' Fly Holidays,Mumbai,Immediately,2 Months,"₹ 7,000-10,000 /month","GDS, CRM, Itinerary planning, Destination knowledge, Sales, Digital marketing",ANY
IT Management For Project,FynTune Solution Private Limited,Navi Mumbai,Immediately,2 Months,"₹ 12,000-18,000 /month","Jira, Confluence, MS Project, Agile/Scrum, Budgeting",ANY
Sales,AulaCube Technologies Private Limited,Mumbai,Immediately,2 Months,"₹ 8,000-20,000 /month","CRM, Sales engagement platforms, LinkedIn Sales Navigator, Microsoft Office Suite",ANY
Human Resources (HR),Ostello India Private Limited,Work From Home,Immediately,2 Months,"₹ 5,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Business Development (Sales),Livofy,Gurgaon,Immediately,2 Months,"₹ 15,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Human Resource (HR),Simple Enterprises,Work From Home,Immediately,2 Months,"₹ 1,000 /month","HRIS (Human Resource Information System), ATS (Applicant Tracking System), Microsoft Office Suite (Excel, Word, PowerPoint), LinkedIn Recruiter",ANY
Graphic Design,Tasuvure,Delhi,Immediately,2 Months,"₹ 5,000-10,000 /month","Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Color theory",ANY
Human Resources (HR),Trully Capital Fintech Private Limited,Pune,Immediately,2 Months,"₹ 6,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
3D Animation,IDZ Digital Private Limited,Thane,Immediately,2 Months,"₹ 8,000 /month","Blender/Maya/3ds Max, ZBrush, Substance Painter, Animation principles, Rigging",ANY
Growth Execution,Cerebronics,Bangalore,Immediately,2 Months,"₹ 6,000-15,000 /month","A/B testing tools, Analytics, SQL, Marketing automation, Project management",ANY
Telecalling,Simplify Solutions,Guntur,Immediately,4 Months,"₹ 8,000 /month","CRM, Dialing Software, Microsoft Excel, Google Sheets, Communication Scripts",ANY
Purchase Operations,Inorbvict Healthcare India Private Limited,Pune,Immediately,4 Months,"₹ 6,000 /month","ERP/SAP (MM module), Excel, Procurement, Vendor negotiation, Inventory management",ANY
Social Media Marketing,Matrix Web Infotech,Udaipur,Immediately,4 Months,"₹ 6,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Accounting & Tally,Branch Karma,Mira Bhayandar,Immediately,4 Months,"₹ 5,000 /month","Tally ERP 9, Advanced Excel, GST/TDS knowledge, Bookkeeping",ANY
Data Entry,Traya Health,Mumbai,Immediately,4 Months,"₹ 5,000-10,000 /month","Microsoft Excel, Google Sheets, Typing Skills (WPM), Data Entry Software, Attention to Detail",ANY
Academic Content Expert - Accountancy (English),QA Solvers,Varanasi,Immediately,4 Months,"₹ 15,000-22,000 /month","Tally, QuickBooks, Advanced Excel, Knowledge of accounting standards (IFRS, US GAAP)",ANY
Finance (Wealth Management),Bonanza Portfolio Limited,Kolkata,Immediately,4 Months,"₹ 2,000 /month +  Incentives","Financial Planning Software (e.g., MoneyGuidePro), CRM, Microsoft Excel, Bloomberg, Investment analysis tools",ANY
Human Resources (HR),Energy Alternatives India,Chennai,Immediately,4 Months,"₹ 15,000-20,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",Female
Accounting,Inorbvict Healthcare India Private Limited,Pune,Immediately,4 Months,"₹ 6,000 /month","Tally, QuickBooks, Advanced Excel, SAP, GST/TDS knowledge",ANY
Law/Legal,Arup Dasgupta,Kolkata,Immediately,4 Months,"₹ 5,000 /month","Legal research (Westlaw, LexisNexis), Case management, MS Word, Legal drafting",ANY
Graphic Design,Exa Mobility India Private Limited,Pune,Immediately,4 Months,"₹ 10,000-20,000 /month","Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Color theory",ANY
Graphic Design,Fabulous Media Private Limited,Gurgaon,Immediately,4 Months,"₹ 5,000-15,000 /month","Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Color theory",ANY
Marketing,The Overseas Consultant,Mumbai,Immediately,4 Months,"₹ 5,000-6,000 /month","Google Analytics, SEO/SEM, Social media, Email marketing, CRM",ANY
Social Media Management,Crystal Salon,Mumbai,Immediately,4 Months,"₹ 2,000 /month","Hootsuite/Buffer/Later, Canva, Social media analytics, Content calendar, Community engagement",ANY
Human Resource - Recruitment,Concept Mastery,Ghaziabad,Immediately,4 Months,"₹ 5,000 /month","ATS, LinkedIn Recruiter, Job boards, Sourcing, Interviewing",ANY
Database Building/Management,The Overseas Consultant,Mumbai,Immediately,4 Months,"₹ 5,000-6,000 /month","SQL, NoSQL (MongoDB), Microsoft Excel, Web scraping tools (Beautiful Soup), Data cleaning techniques",ANY
Finance,Commando Kennels,Secunderabad,Immediately,4 Months,"₹ 15,000-18,000 /month","Advanced Excel, Tally/QuickBooks, Financial modeling, SAP FICO, Bloomberg",ANY
Telecalling,BR Mart Connect Projects Private Limited,Hyderabad,Immediately,4 Months,"₹ 8,000-20,000 /month","CRM, Dialing Software, Microsoft Excel, Google Sheets, Communication Scripts",ANY
Equity Research Analysis & Trading,Money Making Trading Courses,Thane,Immediately,4 Months,"₹ 7,000-9,000 /month","Excel (financial modeling), Bloomberg, Trading terminal, Valuation, Report writing",ANY
Data Science (Mentor And Development),DevTown,Work From Home,Immediately,4 Months,"₹ 60,000 /month","Python, R, Scikit-learn, TensorFlow, SQL, Tableau, Mentoring skills",ANY
Social Media Marketing,Social Buzz Technologies,Noida,Immediately,4 Months,"₹ 7,500 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Technical Research Associate,Darukaa ESG,Mumbai,Immediately,4 Months,"₹ 11,000-15,000 /month","Research databases (IEEE Xplore), Patent search tools, MATLAB/Python, Technical writing",ANY
Client Servicing,Social Buzz Technologies,Noida,Immediately,4 Months,"₹ 7,500 /month","CRM, MS Office, Project management tools, Communication, Presentation",ANY
Cold Outreach And Outbound Marketing,KompiTech,Work From Home,Immediately,4 Months,"₹ 8,000 /month","Email marketing tools (Lemlist), LinkedIn Sales Navigator, CRM, Copywriting",ANY
Journalism,Boston Institute Of Analytics Global Education Private Limited,Mumbai,Immediately,4 Months,"₹ 8,000-10,000 /month","AP Style, WordPress, Audio/video editing, Social media, Interviewing",ANY
Data Entry,Stirring Minds,Delhi,Immediately,4 Months,"₹ 5,000-7,000 /month","Microsoft Excel, Google Sheets, Typing Skills (WPM), Data Entry Software, Attention to Detail",ANY
Library Front Desk Operations,Turn A Page,Navi Mumbai,Immediately,4 Months,"₹ 7,000-10,000 /month","Library management system, MS Office, Customer service, Dewey Decimal System",Female
Designer (Sportswear & Apparel),Joints Health Private Limited,Delhi,Immediately,4 Months,"₹ 6,000 /month +  Incentives","Adobe Illustrator, Adobe Photoshop, CAD for fashion (e.g., Gerber, Lectra), Textile knowledge, Trend forecasting",ANY
Electrical Engineering,Prahantam Pvt Ltd,Ahmedabad,Immediately,4 Months,"₹ 7,000-12,000 /month","MATLAB/Simulink, PSpice, AutoCAD Electrical, ETAP, PLC programming",ANY
Talent Acquisition,DataTrained Education Private Limited,Greater Noida,Immediately,4 Months,"₹ 10,000 /month","ATS, LinkedIn Recruiter, Sourcing, Boolean search, Interviewing",Female
Academic Content Expert - Accountancy (English),QA Solvers,Noida,Immediately,4 Months,"₹ 15,000-22,000 /month","Tally, QuickBooks, Advanced Excel, Knowledge of accounting standards (IFRS, US GAAP)",ANY
Educational Research,SRI DAKSHINAMURTHY ACADEMY (OPC) PRIVATE LIMITED,Work From Home,Immediately,4 Months,"₹ 1,000 /month","SPSS/R, Qualitative analysis (NVivo), Survey design, Research methodologies",ANY
Business Development (Sales),Edujam LLP,Thane,Immediately,4 Months,"₹ 5,000-12,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",Female
Graphic Design,Breakout,Koramangala,Immediately,4 Months,"₹ 8,000-10,000 /month","Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Color theory",ANY
Project Management,FynTune Solution Private Limited,Thane,Immediately,4 Months,"₹ 12,000-18,000 /month","Jira, Asana, Trello, MS Project, Smartsheet, Agile/Scrum methodologies, Risk management",ANY
Digital Marketing,W3Dev,Noida,Immediately,4 Months,"₹ 8,000-10,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Content Writing,9Heaven,Delhi,Immediately,4 Months,"₹ 3,000 /month","WordPress, SEO tools, Grammarly, Plagiarism checker, Google Docs, Canva",ANY
Electrical Engineering Teaching,Future Skills,Hyderabad,Immediately,6 Months,"₹ 18,000 /month","MATLAB/Simulink, PSpice, Multisim, LabVIEW, PLC programming software, Online Whiteboard tools",ANY
Telecalling,Easy Job Solution,Faridabad,Immediately,6 Months,"₹ 10,000 /month","CRM, Dialing Software, Microsoft Excel, Google Sheets, Communication Scripts",ANY
Human Resources (HR),SwasthAham,Work From Home,Immediately,6 Months,"₹ 1,000-4,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",Female
Content Writing,Worklooper Private Limited,Noida,Immediately,6 Months,"₹ 7,000 /month","WordPress, SEO tools, Grammarly, Plagiarism checker, Google Docs, Canva",ANY
Sales (Travel Planning),High Mountains,Chandigarh,Immediately,6 Months,"₹ 5,000-8,000 /month","GDS (Amadeus, Sabre), CRM, Itinerary builders, Destination knowledge",ANY
Business Development (Sales),Social Buzz Technologies,Noida,Immediately,6 Months,"₹ 7,500 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Finance,WinnyTine Events,Mumbai,Immediately,6 Months,"₹ 8,000 /month","Advanced Excel, Tally/QuickBooks, Financial modeling, SAP FICO, Bloomberg",ANY
Video Editing,Social Buzz Technologies,Noida,Immediately,6 Months,"₹ 7,500 /month","Adobe Premiere Pro, Final Cut Pro, DaVinci Resolve, After Effects",ANY
Sales,AulaCube Technologies Private Limited,Bangalore,Immediately,6 Months,"₹ 8,000-20,000 /month","CRM, Sales engagement platforms, LinkedIn Sales Navigator, Microsoft Office Suite",ANY
Corporate Sales,Gramlite Rural Solutions,Gurgaon,Immediately,6 Months,"₹ 14,000 /month","CRM (Salesforce, HubSpot), LinkedIn Sales Navigator, Microsoft Office Suite, Presentation Skills, Proposal Writing Software",Female
Management,My Brand India,Jaipur,Immediately,6 Months,"₹ 6,000 /month","Microsoft Office Suite, Project Management Tools (Asana, Trello), Data Analysis (Excel), Communication tools (Slack)",ANY
Business Development,Competishun,Jaipur,Immediately,6 Months,"₹ 20,000 /month","CRM, LinkedIn Sales Navigator, Sales prospecting tools, Microsoft Office Suite",ANY
Video Making/Editing,"Vanakkam Germany (Germany, Canada)",Work From Home,Immediately,6 Months,"₹ 1,000 /month +  Incentives","Adobe Premiere Pro/Final Cut Pro, CapCut, After Effects basics",Female
Graphic Design,IDZ Digital Private Limited,Mumbai,Immediately,6 Months,"₹ 10,000 /month","Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Color theory",ANY
Podcast Show Hosting,Unimonks,Delhi,Immediately,6 Months,"₹ 6,000-18,000 /month","Microphone, DAW (Audacity), Interviewing skills, Scripting, Public speaking",Female
Management (Male Candidates Preferred),Entuple Technologies Private Limited,Bangalore,Immediately,6 Months,"₹ 7,500 /month","MS Office Suite, Project management tools, Data analysis (Excel), Leadership",Female
Animation (Videoscribe),Unimonks,Delhi,Immediately,6 Months,"₹ 6,000-16,000 /month","Videoscribe, Doodly, Illustration basics, Storyboarding, Scriptwriting",ANY
Voice Over,Unimonks,Delhi,Immediately,6 Months,"₹ 5,000-12,000 /month","Microphone, DAW (Audacity, Adobe Audition), Script reading, Voice modulation",ANY
Psychology,TerraBlue XT,Noida,Immediately,6 Months,"₹ 10,000 /month","SPSS/R, Survey tools, NVivo (qualitative), Research databases (PsycINFO), Microsoft Office",ANY
Tele-Counseling,Innvictis Edutech,Noida,Immediately,6 Months,"₹ 8,000-12,000 /month","CRM, Video conferencing, Telephony, Counseling techniques, Empathy",ANY
Finance & Accounting,RS Consultancy Services,Hyderabad,Immediately,6 Months,"₹ 6,000 /month","Tally ERP 9, QuickBooks, Advanced Microsoft Excel, SAP FICO, Financial Modeling, Zoho Books",ANY
Telecalling,DARIDE TRANSPORTATION SERVICES PVT LTD,Hyderabad,Immediately,6 Months,"₹ 5,000-20,000 /month","CRM, Dialing Software, Microsoft Excel, Google Sheets, Communication Scripts",Female
Corporate Sales,BM INNOVATIONS PRIVATE LIMITED,Hyderabad,Immediately,6 Months,"₹ 2,000-5,000 /month","CRM (Salesforce, HubSpot), LinkedIn Sales Navigator, Microsoft Office Suite, Presentation Skills, Proposal Writing Software",ANY
Marketing,Artem Academy,Hyderabad,Immediately,6 Months,"₹ 12,000 /month","Google Analytics, SEO/SEM, Social media, Email marketing, CRM",ANY
Media & Public Relations (PR),Konnections IMAG,Hyderabad,Immediately,6 Months,"₹ 15,000 /month","Cision/Meltwater, Press release writing, Media outreach, Social media",ANY
Radio Jockey,Unimonks,Delhi,Immediately,6 Months,"₹ 8,000-18,000 /month","Audacity/Adobe Audition, Broadcasting console, Scriptwriting, Voice modulation",ANY
Financial Analysis,Exa Mobility India Private Limited,Pune,Immediately,6 Months,"₹ 10,000-20,000 /month","Advanced Excel, Financial modeling, SQL, Tableau, Bloomberg",ANY
Market Research,Energy Alternatives India,Chennai,Immediately,6 Months,"₹ 15,000-20,000 /month","Survey tools (Qualtrics), SPSS/R, Excel, Tableau, Qualitative/quantitative methods",ANY
Business Development (Sales),Redragaa,Mumbai,Immediately,6 Months,"₹ 12,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Human Resources (HR),Star Production,Delhi,Immediately,6 Months,"₹ 3,000-7,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Social Media Marketing,The Overseas Consultant,Mumbai,Immediately,6 Months,"₹ 5,000-6,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",Female
3D Design,Social Buzz Technologies,Noida,Immediately,6 Months,"₹ 7,500 /month","Blender, Maya, 3ds Max, ZBrush, Substance Painter, AutoCAD, SolidWorks",ANY
Digital Marketing,Grafikos,Chennai,Immediately,6 Months,"₹ 8,000 /month +  Incentives","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",Female
Video Content Creation,Trade Brains,Bangalore,Immediately,6 Months,"₹ 12,000-15,000 /month","Adobe Premiere Pro, Camera operation, Scriptwriting, Lighting, Audio",ANY
Film Production,Realm Studios,Hyderabad,Immediately,6 Months,"₹ 8,000 /month","Movie Magic (Budgeting/Scheduling), Adobe Premiere Pro, Final Draft, Production coordination",ANY
Social Media Marketing,Minus Equals Plus,Delhi,Immediately,6 Months,"₹ 10,000-12,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Social Media Marketing,Flipside Systems & Consultancy Private Limited,Mumbai,Immediately,6 Months,"₹ 5,000-8,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Graphic Design,Wikasta Business And Technical Solutions Private Limited,Work From Home,Immediately,6 Months,"₹ 7,000-12,000 /month","Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Color theory",ANY
Video Making/Editing,SRI DAKSHINAMURTHY ACADEMY (OPC) PRIVATE LIMITED,Work From Home,Immediately,6 Months,"₹ 1,000 /month","Adobe Premiere Pro/Final Cut Pro, CapCut, After Effects basics",ANY
Finance & Accounting,The Affordable Organic Store,Bangalore,Immediately,6 Months,"₹ 6,000-8,000 /month","Tally ERP 9, QuickBooks, Advanced Microsoft Excel, SAP FICO, Financial Modeling, Zoho Books",ANY
